gbm,glmnet,kknn,randomForest
1683,1730,7,1106
1075,1035,1001,1759
1637,1,4,1013
1396,1023,1038,1333
1807,1595,5,1105
1399,1080,8,1928
1728,1146,1011,1468
1256,1512,2,1956
1961,1357,1016,1744
1136,1996,1119,1090
1501,1652,1006,1525
1551,1904,11,1918
1609,1564,1005,1433
1832,1678,1003,1544
1101,1379,6,1298
1195,1368,1083,1677
1584,1017,1031,1203
1985,1014,1009,1906
1521,1701,1039,1405
1590,1905,1129,1683
1429,1718,1017,1558
1185,1398,9,4
1868,1683,1037,1452
1647,1472,1041,1603
1672,1740,1094,1847
1108,1826,1155,1163
1709,1134,1013,1235
1946,1363,1084,1364
1238,1537,1036,1950
1704,1574,1035,1086
1805,1171,1057,1463
1586,1354,1089,1786
1953,1959,1049,1320
1117,2,1058,1575
1254,1695,1087,1831
1757,1068,1164,1934
1403,1567,1029,1328
1155,1293,1030,1927
1420,1784,1053,1062
1569,1684,1046,1698
1545,1509,1104,1016
1601,1966,1257,1861
1380,1214,1025,1078
1978,1233,1125,1274
1597,1092,1073,1094
1271,1621,1076,1471
8,1026,1070,1498
7,1932,1123,1730
1272,1881,1092,1570
1563,1963,1077,1795
1798,1776,1130,1047
1626,1460,1065,1015
1140,1609,1172,1171
1345,1219,1052,1886
1981,1811,1056,1470
1471,1050,1067,1690
1058,1332,1140,1122
1938,1888,1337,1889
1092,1002,1044,1084
1291,1282,1185,1597
1432,1347,1081,1622
1851,1577,1138,1474
1838,1719,1106,1445
1526,1764,1135,1049
1503,1824,1096,1769
1942,1935,1101,1373
1493,1165,1146,1678
1771,1508,1085,1303
1673,1291,1184,1531
1334,1478,1064,1615
1227,1578,1093,1721
1955,1641,1097,1760
1729,1970,1157,1780
1145,1879,1340,1568
1618,1079,1045,1749
1184,1027,1254,1917
1351,1782,1113,1594
1499,1833,1150,1817
1245,1060,1136,1046
1341,1013,1153,1826
1522,1300,1122,1980
1914,1176,1124,1036
1455,1671,1163,1041
1217,1893,1177,1810
1280,1277,1197,1395
1920,1018,1069,1566
1346,1175,1100,1183
1438,1734,1118,1287
1667,1353,1158,1559
1816,1371,1366,1816
1839,1485,1051,1600
1659,1644,1353,1573
1890,1943,1147,1843
1561,1489,1188,1973
1474,1500,1143,1836
1382,1634,1196,1060
1259,1675,1178,1361
1996,1790,1156,1748
1849,1702,1195,1781
1979,1458,1224,1160
