"hp_conf_index","n.trees","interaction.depth","n.minobsinnode","shrinkage","bag.fraction"
1683,5385,5,4,0.00186839402943695,0.832181800343096
1075,5107,5,18,0.0185721218268807,0.601036208868027
1637,468,5,17,0.00573084217863311,0.316306393407285
1396,522,3,14,0.00141732556379799,0.570001547411084
1807,2254,5,25,0.00232478177009639,0.358097615651786
1399,9751,5,3,0.00364160004309484,0.735055895708501
1728,8426,4,20,0.0365239313798362,0.342822425253689
1256,177,5,5,0.0208679919205994,0.851877809874714
1961,7318,5,8,0.0653699723563127,0.853153754398227
1136,5236,5,6,0.00106206134878311,0.295440525375307
1501,4514,5,13,0.0171110626676911,0.952096753008664
1551,916,1,4,0.00106407300360896,0.522582255117595
1609,9451,5,11,0.0447822079346235,0.271548644267023
1832,5808,1,6,0.00308315479627658,0.938410046324134
1101,3192,5,16,0.0115218395867009,0.339419533126056
1195,2539,5,20,0.00466046735414435,0.215542842261493
1584,733,3,24,0.00534910419896687,0.424335328675807
1985,2363,1,7,0.0017889686247191,0.476902342773974
1521,8336,4,5,0.0699301195224563,0.766690326854587
1590,9423,5,4,0.00243356370924426,0.369743395783007
1429,8956,5,25,0.0325738158083306,0.740847261808813
1185,781,5,8,0.00481676761994923,0.979819753393531
1868,4466,4,8,0.00194288242613504,0.402787942998111
1672,6157,5,12,0.0141957987186157,0.815420323237777
1647,4449,4,2,0.00502289965872593,0.894623641110957
1709,8663,5,6,0.0677984595488686,0.258474063873291
1946,882,5,4,0.00255728751619901,0.219319678097963
1108,1449,5,23,0.0024890207453017,0.315255228802562
1238,4003,5,25,0.0659485545706261,0.874731360375881
1704,562,4,25,0.0142650043087884,0.218721006251872
1805,4288,5,7,0.00183222781579335,0.734179856255651
1586,9760,5,24,0.00890497269282577,0.872543921880424
1953,1062,1,20,0.00197760687394404,0.220169617421925
1117,151,5,23,0.0406164663278615,0.420353359729052
1757,223,3,2,0.020807829284677,0.51749858520925
1254,4232,3,10,0.0786855865972029,0.27506038043648
1403,6413,5,4,0.0377973245002782,0.574631673842669
1155,9417,5,3,0.00187480855605891,0.36805149000138
1420,373,1,3,0.00620985060637742,0.989719263464212
1569,1450,5,20,0.00649244945408589,0.287020701542497
1545,1356,4,17,0.0428122003318175,0.953990080207586
1601,1147,5,6,0.0151692954492146,0.927830309607089
1380,1794,5,17,0.0240852642651695,0.629094871133566
1978,6561,5,25,0.0679582625853334,0.621965950727463
1597,2197,4,6,0.00329760846985127,0.486711186170578
1271,719,1,4,0.00575227214085573,0.38614776302129
1499,1351,3,22,0.00160515583784141,0.278184598870575
1272,8039,5,3,0.00554937188447421,0.814661961793899
1563,1294,3,5,0.0563446018402071,0.994346135854721
1798,9850,4,8,0.021119288842142,0.269396386481822
1140,1746,3,2,0.00447387354284732,0.768510300666094
1626,1683,5,7,0.00222164457547863,0.941503450460732
1245,302,5,2,0.0429940316266049,0.765123500488698
1345,169,3,6,0.0221655027982113,0.243591777607799
1981,2433,4,2,0.00230931789245019,0.218729790858924
1471,3685,4,21,0.0764608319800696,0.997674189507961
1058,6058,4,14,0.00153948391543319,0.206704558618367
1938,2054,4,7,0.00536409253406626,0.587771795131266
1092,949,1,11,0.0444991971429,0.903555852547288
1291,8804,4,14,0.0717997768446087,0.78217312078923
1432,5854,5,6,0.00707656095028599,0.530640215799213
1851,984,5,4,0.00334604870340586,0.4356389939785
1838,1568,5,8,0.00873681802061483,0.545547099784017
1526,1281,3,2,0.00328952459359155,0.512216267734766
1503,9526,5,18,0.0112097305722442,0.924812448211014
1942,2238,3,22,0.0160868933682793,0.284014375880361
1493,778,1,17,0.00452184157786557,0.520941053517163
1771,4989,5,6,0.0633182208650863,0.557160106115043
1673,151,5,21,0.0335842957736078,0.291223579458892
1334,2521,4,2,0.00327026000739399,0.429821172356606
1227,7556,5,17,0.053367819141824,0.207007731869817
1955,560,1,11,0.00475005096468753,0.984848788008094
1729,2088,5,10,0.00276876289590217,0.731606716662645
1145,5535,5,15,0.00909022393124055,0.265719571523368
1618,518,4,6,0.0324941698934988,0.744368196465075
1184,4549,5,8,0.0873490989850255,0.665651284717023
1351,9980,1,5,0.00137893648613385,0.653318639472127
1677,1238,3,25,0.00131185882767734,0.322217358276248
1341,2036,5,16,0.00237456375993686,0.983349948748946
1522,539,1,7,0.00947143341588191,0.387103249691427
1914,249,5,25,0.0499306032763689,0.308512176759541
1455,589,1,2,0.00370279554885963,0.305384123139083
1217,231,3,23,0.0451467954956006,0.251823640987277
1280,8379,5,5,0.00415923446410793,0.602520916424692
1478,404,4,2,0.0443412601185859,0.742716932669282
1920,8000,4,8,0.00126353113758494,0.584138762950897
1346,9432,5,6,0.0239694204763204,0.364114555157721
1438,803,5,8,0.00508311150459189,0.347308415360749
1667,8280,4,6,0.0443443460084988,0.846865910291672
1816,1620,5,9,0.044094475599911,0.892038818076253
1839,1568,5,9,0.00297098642995777,0.79386541955173
1659,102,3,7,0.0650316966352223,0.419204911403358
1890,9773,4,22,0.0253574220384275,0.984903372824192
1561,919,5,10,0.0235178466619375,0.748832328803837
1474,1018,5,15,0.00290441164572761,0.33930333442986
1382,6949,4,25,0.0261359540788618,0.455247415043414
1259,1446,1,14,0.00235599899933252,0.673779857717455
1996,4397,4,4,0.00191280355653134,0.650205925293267
1849,5671,5,7,0.012942960161749,0.706436580978334
1979,1766,4,23,0.0149791494772103,0.216787153109908
